,link,text,author_name,screen_name,ohi
737887,https://twitter.com/n4hpg/status/1630645273142673408,One reason (((They))) want to ban gas stoves is so they can sell our natural gas to the Germans.,"Bill Crowell, JAFA",n4hpg,0.994019747
360934,https://twitter.com/Columcilled/status/1630502981928996864,"@curtdoolittle @JMeanypants @ScottAdamsSays What you said is true, however you have to address the reality of Jewish subversion of the Black population. 

The Jews are the main driver of degeneracy in the Black culture through Hollywood, music industry, welfarism and victimology (NAACP, SPLC, etc).",Sanctum Oleum,Columcilled,0.993842959
251459,https://twitter.com/scotnjones/status/1628965985398013952,Remove Soros Puppet Prosecutors https://t.co/BaIygCtEVE,Scot N. Jones,scotnjones,0.993586779
737953,https://twitter.com/n4hpg/status/1630323149286850560,(((They))) are trying to kill us. https://t.co/LBIlheKkye,"Bill Crowell, JAFA",n4hpg,0.993574321
144414,https://twitter.com/RealTruth_Anon/status/1628532443237195776,"Population Control by the Financial Evil Elite Class, AKA Elite Globalists. Most Globalists, answer to these Elite Families. Families like the Rothschild's. These are the people who own Governments &amp; Politicians, &amp; Most Corporations around the World. Billy Gates, is just one of… https://t.co/dqU5jkIg10 https://t.co/9pT3Wpi1A3",🇺🇸LIVE FREE OR DIE TRYING🇺🇸,RealTruth_Anon,0.993549407
534424,https://twitter.com/HoaxCoronavirus/status/1629904113164009472,the fake pandemic wasn't done primarily for corporate profits or drug company profits but for jewish control jewish power--a jewish coup to seize complete control of US and Europe and to go to war with Russia.,coronavirus is a hoax,HoaxCoronavirus,0.993524313
330441,https://twitter.com/tswindle48/status/1628820799506333696,"Get them ALL out. 

Every last Soros backed politician. 

ALL.
OF. 
THEM. https://t.co/3YUDLv73CN",Tommy Swindle,tswindle48,0.993307173
738291,https://twitter.com/n4hpg/status/1628799538470260736,"@Storm4Congress (((They))) have to tell us what they're doing.
https://t.co/ZpvymLooPd","Bill Crowell, JAFA",n4hpg,0.993176043
349820,https://twitter.com/thoughtcrime07/status/1629223570868928512,@Pattythegypsy Education is made up. Joos have corrupted every institutions man,thoughtcrime7,thoughtcrime07,0.993122876
856526,https://twitter.com/arigotch/status/1629987138195320832,"@hoopzdomination @ZeeshanMahmud1 @clairoprop @Rap Look it up, child, even (((they))) admit these things",Byron West,arigotch,0.993109584
14458,https://twitter.com/BobbyKay77/status/1629878967741153280,"@AntonioSabatoJr Trump can’t be bought by the satanic Rothschild’s, Rockefeller’s, etc and their networks of evil!!!!",BobbyKay77,BobbyKay77,0.993082762
488420,https://twitter.com/MelMassey63/status/1628487645083885568,"“It is the end of civilization and the end of most life on Earth as we know it,...“We are seconds away on the Doomsday Clock. All because George Soros, Zbigniew Brzeziński, and the Rockefellers and the Rothschild crime axis wants global domination.”

 https://t.co/psfWZiTzsp",Melanie Massey,MelMassey63,0.992960989
196982,https://twitter.com/raymeem/status/1628312646796845056,@redvoicenews @dbongino The school system in America in the hands of bolsheviks judes &amp; they have done the US in! Look at Biden’s cabinet mostly judes!,Signreader,raymeem,0.992919862
276928,https://twitter.com/chitterbug/status/1628631393453449216,"An example of how BOTH, REPUBLICANS &amp; DEMOCRATS are getting fed up with Soros backed DA's. When will people realize that Soros is NOT A GOOD GUY, he wants our government &amp; Judicial system to crash and be restored by THEIR MINIONS to make it easier for their One World Government. https://t.co/RbfM5Zz6ng",Ms. Chitterbug,chitterbug,0.992892385
