,link,text,author_name,screen_name,ohi
1287,https://twitter.com/ali/status/1616211205919756288,Someone hired Jerome Powell to implode the world economy so the masonic talmudic alchemists can reshape it. Trans R… https://t.co/mVdLyiZdan,Ali Alexander,ali,0.990063608
8465,https://twitter.com/ali/status/1618105983129247744,"Jews love me.

Jewish Supremacists hate me because I got the codes.",Ali Alexander,ali,0.98657167
7899,https://twitter.com/ali/status/1618001503645761541,Looks at this cool image Soros-funded minders made of me and some other people (but mostly me) https://t.co/LpX37zBKqk,Ali Alexander,ali,0.973594487
10382,https://twitter.com/PatrickByrne/status/1618619720340590598,MUST SEE! Michigan citizens wanted recount. Soros-goon SOS Benson fought them. At a cost of $500K they went forward… https://t.co/TljWOt5tgu,Patrick Byrne,PatrickByrne,0.97236222
4579,https://twitter.com/DVATW/status/1617083277243809796,Judas Goats. I warned you.,David Vance,DVATW,0.971074343
3883,https://twitter.com/gatewaypundit/status/1616901871360430080,Soros-Backed Prosecutor Suspended by DeSantis Lashes Out at Florida Governor After Losing Bid to Get Job Back (VIDE… https://t.co/ly2NHpwiuV,The Gateway Pundit,gatewaypundit,0.970881701
8452,https://twitter.com/NickJFuentes/status/1618108097599528960,"“Globalist American Empire” ☝️🤓

“Zionist Occupied Government” 🖕😎",Nicholas J. Fuentes,NickJFuentes,0.970126927
4179,https://twitter.com/ali/status/1616954150184488964,"Masons are worse than Mossad. Made worse by all the regular registered members vouching for it, not knowing what th… https://t.co/0N3qQjiVAi",Ali Alexander,ali,0.950732112
11331,https://twitter.com/BaddCompani/status/1618799541695938560,change trajectory in Saudi Arabia who also see Iran as their mortal enemy. If Mossad is involved and the CIA is inv… https://t.co/PXb2eqOWZw,Badd Company,BaddCompani,0.932206869
7903,https://twitter.com/ali/status/1618002213158420482,@Magistermilitu3 Agreed. Why is Soros invested in helping Tim Pool's street cred?,Ali Alexander,ali,0.923247039
