,link,text,author_name,screen_name,ohi
1395910,https://twitter.com/n4hpg/status/1621152573960126464,(((They))) are taking us to #WW3.,"Bill Crowell, JAFA",n4hpg,0.99412328
32182,https://twitter.com/PredictionMan/status/1618396387120668672,"start video at 3:25 mark. The Trump Lookalike is a puppet of Rothschild bent on dividing Trump Supporters! Do Not fall for this Deep State Trick!!!
https://t.co/gy7buq9mu5",PredictionMan,PredictionMan,0.994065881
1679369,https://twitter.com/endthefedcartel/status/1621271111089487872,@dom_lucre (((THEY))) did 9/11,NSBC,endthefedcartel,0.993673325
498979,https://twitter.com/UltraMagaKingW1/status/1620052804659470336,"The Khazarian Zionist Mafia are out of control.

War by any means.

War by deception.

Watch the people around Trump.",Ultra Maga King Woman,UltraMagaKingW1,0.993648708
906629,https://twitter.com/MancusoKellyA18/status/1619389746496802816,@JRobFromMN to take down the United States for Soros and the Rothschilds.,Kel Mancuso,MancusoKellyA18,0.993524313
90495,https://twitter.com/openthebooksaus/status/1620185706059677696,@margo694 @macsween_prue @Dom_Perrottet @abcsydney @ClubsNSW Tell that to the joos controlling every aspect of our government and lives,GlamisTheHelperMouse 🐭,openthebooksaus,0.99349916
274699,https://twitter.com/raymeem/status/1619993287766724608,@Eduaaardoo55 @StockMKTNewz That’s why the jewish bankers are running &amp;  ruining the world’s working stiffs,Signreader,raymeem,0.99343574
535705,https://twitter.com/BDMtoday/status/1618293042984943616,"@POTUS Just nullify the Federal Reserve Act of 1913, and eliminate the Rothchild-controlled bank sucking our nation dry, and along with that, the IRS and Federal Income Tax... All three are from ONE bill, signed in the dark of night. 

A Fair and Flat tax is the way to go.",🇺🇸Brian🇺🇸,BDMtoday,0.993384659
1679380,https://twitter.com/endthefedcartel/status/1619093294247469056,"@tracybeanz They both went to the wailing wall, so they’re both owned by (((them))). Our country is occupied by (((them))), so until they are booted out, we won’t have a country. The parasites will just continue to use our host body until another host is found.",NSBC,endthefedcartel,0.993268073
274839,https://twitter.com/raymeem/status/1617020103824142336,@AhComfy Jewish cabal is in saddle over in Washington so order of the day is destroy white chickens!,Signreader,raymeem,0.993255019
1176178,https://twitter.com/abjectyetalive/status/1618618000944553984,Jews hate free speech. US media is all jewish and all they do is lie.,bing bong,abjectyetalive,0.993028939
91307,https://twitter.com/openthebooksaus/status/1616597829258182656,@elonmusk @DavidSacks Of course you are. ((They)) own you,GlamisTheHelperMouse 🐭,openthebooksaus,0.992974639
1335415,https://twitter.com/NGPhDBio/status/1616901436679520256,"@mattgaetz Biden out, who's in? Newsom? He's the Rothschild puppet?",CountryOverParty,NGPhDBio,0.992906094
2159721,https://twitter.com/raymeem/status/1621099177550970880,@GraceSm73368432 @Thetwins1989 Ignatiev was marxist jew Problem 🇺🇸 whites have is that in their time of winning post WW indulgences have abdicated their power to the marxists Jews who destroyed white 🇷🇺 Pay attention Biden’s cabinet mostly jews! Jewish DHS is flooding US w/ illegals! 🧐 🇺🇦 J vs C Biden talk,Signreader,raymeem,0.992906094
53968,https://twitter.com/D_A_G_Chaos/status/1619394258829713408,"@miruneverdies @cirnosad Three points:

1: jews lie ... they always lie

2: Zelensky is a f-in jew [so yes, he'll get a *little* help from Israel

3: Putin is not a spaz ... the dude who basically saved Russia is now somehow a cuck",Niccolò🦎📜☢️🔴,D_A_G_Chaos,0.992878616
90982,https://twitter.com/openthebooksaus/status/1617348633221029888,@amuse @LaceyBanis ((They)) know what they are doing,GlamisTheHelperMouse 🐭,openthebooksaus,0.992864728
1956737,https://twitter.com/Just_Whitey/status/1619344524920389632,"@MattWalshBlog Their goal is the destruction of western civilization. They already have the Church.
I suspect their rioting and lawlessness are to bring down martial law. The prosecutors Soros funded are emptying the prisons - an age-old tactic.",Dirtbag MAGA Johnson,Just_Whitey,0.992781222
